Nome,Link Detalhes,Nome Petisco,Descricao,Endereco,Complemento
Alexandre’s Bar,https://comidadibuteco.com.br/buteco/alexandres-bar/,O fabuloso discão,Polpetone com recheio de muçarela acompanhada com caponata de berinjela e abobrinha.,"Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte – MG",Loja 01
Amarelim do Prado,https://comidadibuteco.com.br/buteco/amarelim-do-prado/,Trem de roças,"Bochecha de porco na cama de angu mole, pesto de horta, mandioca e agrião. Acompanha pão e patê de fígado de galinha.","Avenida Francisco Sá, 658 | Prado, Belo Horizonte – MG",
Andrade’s Beer,https://comidadibuteco.com.br/buteco/andrades-beer/,Chora canelinha,"Ossobuco com purê de batatas, acompanhado de torradas de alho-poró.","Rua Dona Geni, 32 | Jardim Florência (Venda Nova), Belo Horizonte – MG",
Arcos Bar,https://comidadibuteco.com.br/buteco/arcos-bar/,Panela da Diversidade,"Acém cozido com ervas finas, acompanhado com batata rústica.","Rua da Bahia, 1144 | Centro, Belo Horizonte – MG",Loja 5
Armazém Santa Amélia,https://comidadibuteco.com.br/buteco/armazem-santa-amelia/,Segredo do Armazém,"Polenta cremosa com ragu de carnes cheio de sabor, agrião fresco, crispy de parmesão e um toque secreto para abrilhantar as Bodas de Prata do Comida di Buteco.","Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte – MG",
Avalanche Espeteria,https://comidadibuteco.com.br/buteco/avalanche-espeteria/,Milão Maluco,"Ossobuco cozido ao molho tradicional, acompanhado com purê de batata e farofinha da casa.","Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte – MG",
Azougue Fogo e Bar,https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/,Língua da vovó Virinha,"Língua de boi assada, sobre creme de batata e milho com vinagrete mineiro e redução do caldo da própria língua com cerveja.","Rua do Ouro, 835 | Serra, Belo Horizonte – MG",Loja 835
Baiuca,https://comidadibuteco.com.br/buteco/baiuca/,Canelada Suína,"Panturrilha suína, mandioca cozida com queijo e manteiga, cebola assada e crispy de couve.","Rua Piauí, 1884 | Funcionários, Belo Horizonte – MG",
Bar Bambú,https://comidadibuteco.com.br/buteco/3231-revision-v1/,Camarão que dorme?,Batata recheada com strogonoff de camarão.,"Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte – MG",
Bar Bendita Baderna,https://comidadibuteco.com.br/buteco/bar-bendita-baderna/,PARABÉNS CDB,"Coxinhas recheadas para todos os gostos, massa de abóbora com recheio de frango com quiabo, massa de mandioca com recheio de carne de lata (suína) e massa de beterraba com recheio de alho-poró com queijo canastra.","Rua Silva Fortes, 47 | União, Belo Horizonte – MG",Loja 6
Bar da Cíntia,https://comidadibuteco.com.br/buteco/bar-da-cintia/,Língua bêbada,"Língua marinada na cerveja Caracu, cheiro-verde, mandioca cozida na manteiga de garrafa.","Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte – MG",
Bar da Fia,https://comidadibuteco.com.br/buteco/bar-da-fia/,Língua no rabo,"Língua bovina com rabada, servida com polenta, quiabo frito e agrião.","Rua dos Astecas, 2722 | Santa Mônica, Belo Horizonte – MG",
Bar da Lu,https://comidadibuteco.com.br/buteco/bar-da-lu/,Barril Mineiro Sô,"Ossobuco marinado com ervas finas e vinho tinto, acompanhado de polenta coberta com queijo parmesão e muçarela gratinada, crispy de mostarda e torresminho pururuca.","Rua Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte – MG",
Bar da Silvânia,https://comidadibuteco.com.br/buteco/bar-da-silvania/,"Õ trem bão, sô",Maçã de peito com mandioquinha e torradas de pão francês.,"Rua Soares Nogueira, 801 | Camargos, Belo Horizonte – MG",
Bar do Bartolomeu,https://comidadibuteco.com.br/buteco/bar-do-bartolomeu/,"Bem Bolado, Uai!!",Bolinho de rabada com catupiry e alho-poró. Acompanhado com molho da casa e molho de geleia de pimenta.,"Rua Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte – MG",
Bar do Bem,https://comidadibuteco.com.br/buteco/bar-do-bem/,A Furiosa,"Miolo de acém cozido na cerveja e tempero da casa, servido com torradas feitas na manteiga e ervas, pão de queijo assado e pastel de vento.","RUA VICENTINA COUTINHO CAMARGOS, 100, BELO HORIZONTE – MG",LOJA 1 E 2
Bar do Kim,https://comidadibuteco.com.br/buteco/bar-do-kim/,Músculo à moda Kim!,"Músculo bovino acompanhado de champignon, acompanhado de torradas.","Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte – MG",
Bar do Nelson,https://comidadibuteco.com.br/buteco/bar-do-nelson/,Bolinho de prata,Bolinho de feijoada na cama de couve crispy.,"Avenida Vicente Risola, 1000 | Santa Inês, Belo Horizonte – MG",
Bar do Primo,https://comidadibuteco.com.br/buteco/bar-do-primo/,Custelinha di Buteco,Costelinha com batata e queijo ao molho branco.,"Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte – MG",
Bar do Regis,https://comidadibuteco.com.br/buteco/24790-revision-v1/,Trilhas de Minas,"Almôndegas ao molho de tomates, servidas com polenta.","Rua Gávea, 422 | Jardim América, Belo Horizonte – MG",
Bar do Romeu,https://comidadibuteco.com.br/buteco/5665-revision-v1/,Pé no Rabo,"Rabada com pé de porco acompanhada de farofa de abacaxi, geleia de pimenta e torradinha.","Rua Aniri, 8 | Guarani, Belo Horizonte – MG",
Bar dos Meninos,https://comidadibuteco.com.br/buteco/bar-dos-meninos/,Bodas de prata,"Costelinha suína, marinada em vinho tinto, servida com mostarda em folhas, acompanhada de creme de batata.","Rua Lindolfo Deodoro, 503 | Salgado Filho, Belo Horizonte – MG",A
Bar Du Du,https://comidadibuteco.com.br/buteco/bar-du-du/,Porco sem vergonha,"Picadinho de carne de porco ao molho, acompanhado de um creme de batata.","Rua Violeta, 369 | Esplanada, Belo Horizonte – MG",
Bar e Restaurante Bom Sabor,https://comidadibuteco.com.br/buteco/bar-e-restaurante-bom-sabor/,Bora Comemorar,"Fraldinha de boi recheada com carne moída de porco, bacon e muçarela, assado na churrasqueira. Acompanhado de farofa e vinagrete.","Rua Java, 386 | Nova Suíça, Belo Horizonte – MG",Loja A
Bar e Restaurante do Joãozinho,https://comidadibuteco.com.br/buteco/bar-e-restaurante-do-joaozinho/,Trio Mineiro,"Quarteto: carne de lata bovina frita, torresmo pururuca, queijo temperado à moda da casa, molho de alho-poró.","Rua Pinheiro Chagas, 295 | Barreiro, Belo Horizonte – MG",Loja 2 e 3
Bar Estabelecimento,https://comidadibuteco.com.br/buteco/bar-estabelecimento/,Tipracas,"Pelotas de rabada com angu de agrião em molho de tomate com cebola e tipracas (tipo bolachas feitas com arroz, feijão roxinho, queijo e especiarias.)","Rua Monte Alegre, 160 | Serra, Belo Horizonte – MG",
Bar Junto Juntinho,https://comidadibuteco.com.br/buteco/bar-junto-juntinho/,Poliamor Culinário,"Costelinha de porco combinada com um purê de mandioca feito com manteiga de garrafa e queijo parmesão, acompanhado de couve crispy e geleia de abacaxi apimentada.","Rua Cura D’Ars, 542 | Prado, Belo Horizonte – MG",
Bar Mania Mineira,https://comidadibuteco.com.br/buteco/5668-revision-v1/,Explosão de Sabor,Bolinho de mandioca recheado com queijo.,"Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte – MG",
Bar Pompéu,https://comidadibuteco.com.br/buteco/3135-revision-v1/,É mas num é,"Iscas de filé de frango empanadas nos flocos de arroz, regado ao molho de alho-poró e cream cheese. Acompanha batata frita canoa e molho agridoce de goiabada.","Rua São Miguel, 779 | Itapoã, Belo Horizonte – MG",Antigo 1243
Bar Stella,https://comidadibuteco.com.br/buteco/bar-stella/,Boi bebum,"Maçã de peito ao molho de vinho, acompanhada de farofa d’água e mandioca na manteiga de garrafa.","Avenida Saramenha, 1599 | Guarani, Belo Horizonte – MG",
Bar Temático Sta. Teresa,https://comidadibuteco.com.br/buteco/bar-tematico-sta-teresa-2/,#CDB – 25 anos de sucesso – Arrumado,"Carne de sol, feijão-de-corda, farofa e vinagrete e manteiga de garrafa.","Rua Pirite, 187 | Santa Teresa, Belo Horizonte – MG",Atrás do Mercado Distrital Sta. Tereza
Barrigudinha Buteco,https://comidadibuteco.com.br/buteco/barrigudinha-buteco/,Bodas no prato: Rib ao molho Rubi,Costelinha de porco ao molho rubi.,"Avenida dos Engenheiros, 1071 | Alípio de Melo, Belo Horizonte – MG",
Barzim dos amigos,https://comidadibuteco.com.br/buteco/barzim-dos-amigos/,Porpeta de Buteco,Almôndegas ao sugo com batata recheada.,"Rua Lindolfo de Azevedo, 1263 | Jardim América, Belo Horizonte – MG",
Bazin Bar,https://comidadibuteco.com.br/buteco/bazin-bar/,Bodas de Prata,Carne de panela acompanhada de angu e ora-pro-nóbis.,"Rua Orozimbo Nonato, 1053 | Dona Clara, Belo Horizonte – MG",Loja 3 e 4
Beco Restaurante,https://comidadibuteco.com.br/buteco/beco-restaurante/,Lá di Casa,"Carne bovina cozida na panela de pressão e reduzida no molho à base demi glace. Acompanha nosso creme de mandioca caseira, farofa crocante de panko e crispy de couve.","Rua Tamoios, 232 | Centro, Belo Horizonte – MG",
Benjamin Bar,https://comidadibuteco.com.br/buteco/benjamin-bar/,Boizinho no milharal,"Costela bovina regada no molho roti, acompanhada de quirera de milho com queijo canastra meia cura e milho verde cozido.","Rua Coronel José Benjamim, 770 | Padre Eustáquio, Belo Horizonte – MG",Praça Geraldo Torres
Boteco 86,https://comidadibuteco.com.br/buteco/boteco-86/,Bolinho Nordestino,Bolinho de aipim com carne seca e requeijão.,"Rua Jacarina, 86 | Padre Eustáquio, Belo Horizonte – MG",
Botequim Buritis,https://comidadibuteco.com.br/buteco/botequim-buritis/,Butequeiro 25,"Lombinho suíno na lata, acompanhado de mandioquinha frita ao molho cremoso raiz.","Rua Vitório Magnavaca, 39 | Buritis, Belo Horizonte – MG",
Botequim de Lourdes,https://comidadibuteco.com.br/buteco/botequim-de-lurdes/,Rocambole de Torresmo que só no Botequim tem,"Torresmo de barriga marinado na cachaça, servido com palitinhos de tapioca e geleia de abacaxi com pimenta e canela.","Rua Curitiba, 2039 | Lourdes, Belo Horizonte – MG",
Buteco do Lili,https://comidadibuteco.com.br/buteco/3151-autosave-v1/,Sabores de Prata,"Fraldinha de panela ao molho roti, acompanhada de batata ao murro e pães de queijo fritos.","Rua Líbero Badaró, 493 | Dona Clara, Belo Horizonte – MG",
Buteco do Rod,https://comidadibuteco.com.br/buteco/buteco-do-rod/,Canela di Butequêro,"Cambito suíno ao molho de cerveja preta, acima de uma polenta temperada com páprica defumada e espinafre, acompanhado de farofa panko com bacon, finalizado com queijo gouda derretidinho.","Rua José Moura Peçanha, 12 | Ouro Preto, Belo Horizonte – MG",
Buteco Tô D’Boa,https://comidadibuteco.com.br/buteco/buteco-to-dboa/,Paleta Suína Mineira,"Paleta suína marinada com molho especial e cerveja preta, acompanhada de farofa de bacon crocante, banana-da-terra caramelizada e finalizada com cheiro-verde.","Avenida Virgílio de Melo Franco, 400 | Jardim Atlântico, Belo Horizonte – MG",
Buteco’s Bar,https://comidadibuteco.com.br/buteco/3145-revision-v1/,Nuuuu…quebrou minha costelinha!,"Porpeta de costelinha com bacon assada, recheada com queijo minas, regada ao molho roti, em cama de canjiquinha, acompanhada de quiabo e molho pesto de couve e coentro.","Rua Ernesto Braga, 2 | Jardim Atlântico, Belo Horizonte – MG",Lj 02
Butiquim On Cê Tá?,https://comidadibuteco.com.br/buteco/butiquim-on-ce-ta/,Almôndega da Mamma Tereza,"Almôndega ao molho de tomate, recheada com queijo. Acompanha rodelas de pão francês.","Avenida Gen. Olímpio Mourão Filho, 754 | Itapoã, Belo Horizonte – MG",
Café Bahia,https://comidadibuteco.com.br/buteco/3147-revision-v1/,Trupiquei no Bahia,"Defumados de porco e carne de sol no feijão-vermelho, pelinha crocante, polentinha mineira e mostarda refogada.","Rua Tupis, 369 | Centro, Belo Horizonte – MG",
Café Palhares,https://comidadibuteco.com.br/buteco/3149-revision-v1/,Polpeta de Berinjela com Dois Queijos,"Polpetas de berinjela com queijo parmesão, muçarela, manjericão e salsinha. Servidas com pasta de grão-de-bico.","Rua dos Tupinambás, 638 | Centro, Belo Horizonte – MG",
Camisola Bar,https://comidadibuteco.com.br/buteco/camisola-bar/,Costela Mineira,"Costela de boi cozida na cerveja preta, acompanhada com um purê de mandioca com queijo.","Rua Luther King, 242 | Cidade Nova, Belo Horizonte – MG",
Canela Amarela,https://comidadibuteco.com.br/buteco/canela-amarela/,Bola na Rede,"Almôndegas bovinas sobre a cama de creme de queijos, acompanhadas de torradas de pão de alho e finalizada com tomatinho e manjericão. Acompanha molho da casa.","Praça Leonardo Gutierrez, 195 | Gutierrez, Belo Horizonte – MG",Loja 20
Cantina Arte Quintal,https://comidadibuteco.com.br/buteco/cantina-arte-quintal/,Fraldinha Assada na Cachaça e Cerveja,"Fraldinha assada flambada na cachaça e cerveja com calda de maracujá, farofa de alho-poró e banana frita curtida ao bacon.","Rua Realengo, 150 | Caiçara, Belo Horizonte – MG",
Cantinho da Baiana,https://comidadibuteco.com.br/buteco/cantinho-da-baiana/,Mineirou nos 25,"Tiras de galeto, envoltas em casquinha crocante de queijo parmesão. Acompanhados por creme de bacon crispy.","Avenida Itaité, 422 | São Geraldo, Belo Horizonte – MG",
Casa da Madrinha,https://comidadibuteco.com.br/buteco/casa-da-madrinha/,Bem Mineiro,Polenta crocante com ragu de frango com quiabo e o toque inconfundível do queijo minas.,"Avenida Barbacena, 212 | Barro Preto, Belo Horizonte – MG",Loja 7
Cervejaria Pajé,https://comidadibuteco.com.br/buteco/cervejaria-paje/,XUKURU KARIRI,"Amassado de mandioca amarela, temperada e recheada com bacon e queijo, acompanhado de calda de abacaxi ‘smooth Cayenne’ e molho ‘Buffalo’ picante.","Avenida Capim Branco, 419 | Vista Alegre, Belo Horizonte – MG",
Chapa Mágica,https://comidadibuteco.com.br/buteco/chapa-magica/,Incangado de inhame com bacon dona Biu,Purê de inhame com bacon.,"Avenida Waldomiro Lobo, 305 | Guarani, Belo Horizonte – MG",
Choperia América Norte Sul,https://comidadibuteco.com.br/buteco/choperia-america-norte-sul/,Tira gosto escondido,"Pastel recheado com carne bovina defumada e desfiada, muçarela, palmito, cebola, azeitona, requeijão. Acompanha molho da casa e salada de agrião e tomate.","Rua Chico Rei, 190 | Estrela do Oriente, Belo Horizonte – MG",
Chopp da Esquina,https://comidadibuteco.com.br/buteco/chopp-da-esquina/,Rolê do Chopp,"Bife a rolê, acompanha farofa de torresmo.","Rua Garret, 263 | Nova Granada, Belo Horizonte – MG",
Companhia do Dino,https://comidadibuteco.com.br/buteco/companhia-do-dino/,Barriga do Dino,Barriga frita com geleia de pimenta e mandioca na manteiga de garrafa.,"Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte – MG",
Conectados Bar,https://comidadibuteco.com.br/buteco/conectados-bar/,"Ajoelhou, vai ter que rezar!","Cozido de joelho de porco e pernil com especiarias, servido sobre creme de mandioca ao alho, acompanhado de farofa de milho amanteigado e banana-da-terra.","Avenida Francisco Sá, 280 | Prado, Belo Horizonte – MG",
COSMOS,https://comidadibuteco.com.br/buteco/cosmos/,Meteoro – Explosão de sabores,"Tiras de picanha, alcatra e maminha ao molho de cerveja preta, com batata tipo chips e creme de alho.","Avenida Vicente Risola, 1305 | Santa Inês, Belo Horizonte – MG",
Deck Boi na Brasa,https://comidadibuteco.com.br/buteco/deck-boi-na-brasa/,Tulipa do Cheff,"Tulipas de frango assadas na brasa, envolvidas em um molho agridoce da casa com um toque de goiabada, servidas com minibatatas rústicas e banana-da-terra mini fritas, regadas ao molho de ervas.","Rua Desembargador José Satyro, 302 | Castelo, Belo Horizonte – MG",Loja 05 e 06
Dona Dora,https://comidadibuteco.com.br/buteco/dona-dora/,Boleco (Bolo di Buteco),"Purê rústico de mandioca com ragu de alcatra, fonduta de queijo canastra e crispy de couve.","Rua Rio de Janeiro, 1205 | Centro, Belo Horizonte – MG",
Dona Ju Gastro Bar,https://comidadibuteco.com.br/buteco/dona-ju-gastro-bar/,Jú-elhoo,"Joelho de porco marinado em especiarias, cozido na cerveja e acompanhado de angu de milho verde e couve passada no azeite. E ambrosia de sobremesa para comemorar os 25 anos do CDB.","Estrada dos Borges, 1520 | Jardim Vitória, Belo Horizonte – MG",Loja 03
Dona Suica,https://comidadibuteco.com.br/buteco/3157-revision-v1/,Prata da Casa,"Sobrecoxa desossada e assada, polenta de milho verde com bacon e queijo e farofinha com quiabo grelhado.","Rua João Samaha, 390 | São João Batista (Venda Nova), Belo Horizonte – MG",
Ember BBQ,https://comidadibuteco.com.br/buteco/ember-bbq/,Cupim Sertanejo,"Cupim defumado em lenha de macieira. Servido sobre angu de milho verde com queijo minas, acompanhado de couve crispy e pimenta jalapeño.","Rua São Romão, 460 | São Pedro, Belo Horizonte – MG",
Espetinho do Boi,https://comidadibuteco.com.br/buteco/espetinho-do-boi/,Brigadeiro do Boi,Almôndega selada no forno com cobertura de queijo ao molho especial.,"Rua Professor Tristão da Cunha, 183 – Planalto, Belo Horizonte – MG",
Espetinhos do Paulão,https://comidadibuteco.com.br/buteco/espetinhos-do-paulao/,Vaca Faladeira,"Língua de boi recheada com bacon e cenoura ao molho madeira. Acompanha dois minipães italianos recheados com vinagrete de tomate, cebola temperada com chimichurri de limão e azeite, com muçarela gratinada e manjericão desidratado.","Rua Álvaro Mata, 466 | Nova Cachoeirinha, Belo Horizonte – MG",
Espettinho.com,https://comidadibuteco.com.br/buteco/espetinho-com/,Mineirinho Gratinado 2.5,Almôndegas suínas gratinadas com molho de tomate caseiro e muçarela. Acompanha 1 Espetinho de ‘Sacanagem’ e um licor de doce de leite de entrada.,"Rua Eli Seabra Filho, 510 | Buritis, Belo Horizonte – MG",Lojas 05 e 07
Fogão de Minas,https://comidadibuteco.com.br/buteco/fogao-de-minas/,Tropa de Elite,Petisco de tropeiro.,"Avenida Doutor Cristiano Guimarães, 1911 | Planalto, Belo Horizonte – MG",
